Keys,English (Canada),French (Canada)
##mode_worldeditor_workshop_created,Created on Workshop.,Créé sur le Workshop.
##mode_worldeditor_workshop_creating,Creating on Workshop...,En création sur le Workshop...
##mode_worldeditor_workshop_published,Published on Workshop.,Publié sur le Workshop.
##mode_worldeditor_workshop_publishing,Publishing on Workshop...,En publication sur le Workshop...
##mode_worldeditor_workshop_error_timeoutcreate,Error: Could not create,Erreur: Échec lors de la création
##mode_worldeditor_workshop_error_timeoutcreate_info,Timeout while creating (> #xs).,La création a échoué. Le délai d'attente maximal a été rencontré (> #xs).
##mode_worldeditor_workshop_error_timeoutpublish,Error: Could not publish,Erreur: Échec lors de la publication
##mode_worldeditor_workshop_error_timeoutpublish_info,Timeout while publishing (> #xs).,La publication a échoué. Le délai d'attente maximal a été rencontré (> #xs).
##mode_worldeditor_workshop_error_publish,Error: Could not publish,Erreur: Échec lors de la publication
##mode_worldeditor_workshop_error_publish_info,"Could not upload to Steam Workshop.\nReceived error: <b>#x</b>.\nCastle Story's workshop is still in beta, please send this error the the developers so we can help you.",La publication a échoué.\nL'erreur reçue est la suivante: <b>#x</b>.\nLe workshop de Castle Story est en beta. Veuillez nous envoyer cette erreur pour que nous puissions vous aider.
##mode_worldeditor_workshop_error_ok,Ok,Ok
,,
##mode_worldeditor_letters,Letters,Lettres
,,
##mode_worldeditor_actions,Actions,Actions
##mode_worldeditor_options,Options,Options
##mode_worldeditor_help,Help,Aide
##mode_worldeditor_close,Close,Fermer
,,
OPTIONS,,
##mainmenu_options,Options,Options
##mainmenu_options_apply,Apply,Appliquer
##mainmenu_options_back,Back,Retour
##mainmenu_options_settings,Settings,Réglages
##mainmenu_options_settings_info,General options,Options générales
,,
##mainmenu_options_general,General,Général
##mainmenu_options_general_info,General game settings,Paramètres généraux
##mainmenu_options_general_welcomescreen,Welcome screen,Écran de bienvenue
##mainmenu_options_general_welcomescreen_info,Show welcome screen at game start,Montrer l'écran de bienvenue en début de partie
##mainmenu_options_general_showhelpatgamestart,Help Popups,Astuces
##mainmenu_options_general_showhelpatgamestart_info,Enable contextual help popups,Montrer les astuces contextuelles
##mainmenu_options_general_pausegame,Pause when out of focus,Pause lorsque hors fenêtre
##mainmenu_options_general_pausegame_info,Pause game when window loses focus,Mettre sur pause lorsque hors fenêtre
##mainmenu_options_general_specialassets,Special assets,Objets thématiques
##mainmenu_options_general_specialassets_info,Show special thematic assets (eg. during the holidays),Activer les objets thématiques (ex: durant les fêtes)
##mainmenu_options_general_gamemodes,Unsupported game modes,Modes de jeu non supportés
##mainmenu_options_general_gamemodes_info,Show unsupported game modes,Afficher les modes de jeu non supportés
##mainmenu_options_general_enabledebugmode,Debug mode,Mode Débogage
##mainmenu_options_general_enabledebugmode_info,Enable Debug mode,Activer le mode Débogage
,,
##mainmenu_options_graphics,Graphics,Graphiques
##mainmenu_options_graphics_info,Graphics game settings,Paramètres visuels
##mainmenu_options_graphics_fullscreen,Fullscreen,Plein Écran
##mainmenu_options_graphics_fullscreen_info,Fullscreen or windowed,Plein écran ou format fenêtre
##mainmenu_options_graphics_screenresolution,Screen Resolution,Résolution
##mainmenu_options_graphics_screenresolution_info,Set your screen resolution,Ajustez la résolution de votre écran
##mainmenu_options_graphics_quality,Quality Settings,Qualité des Graphiques
##mainmenu_options_graphics_quality_standard,Standard,Standard
##mainmenu_options_graphics_framecap,Framerate limit,Cadence d'Images Limite
##mainmenu_options_graphics_framecap_info,Limit the game framerate to a specific FPS,Limitez la cadence d'images à un IPS spécifique
##mainmenu_options_graphics_framecap_unlimited,Unlimited,Illimité
##mainmenu_options_graphics_framecap_fps,FPS,IPS
##mainmenu_options_graphics_levelofdetail,Level of Detail,Niveau de Détail
##mainmenu_options_graphics_levelofdetail_info,The distance at which the game will lower terrain detail,La distance à laquelle le jeu réduit la qualité du terrain
##mainmenu_options_graphics_levelofdetail_low,Low,Bas
##mainmenu_options_graphics_levelofdetail_medium,Medium,Moyen
##mainmenu_options_graphics_levelofdetail_high,High,Élevé
##mainmenu_options_graphics_terrain,Terrain Acceleration,Accélération du Terrain
##mainmenu_options_graphics_terrain_info,Toggle GPU acceleration for terrain data,Basculez l'accélération faite par la carte graphique au niveau du calcul de terrain
##mainmenu_options_graphics_terrain_autodetect,Autodetect,Auto-détection
##mainmenu_options_graphics_terrain_autodetect_info,"In this mode, multi-threading will be used only when optimal system requirements are met.","Dans ce mode, le multi-threading ne sera utilisé pour calculer le terrain que si votre ordinateur est assez puissant."
##mainmenu_options_graphics_terrain_never,Never,Jamais
##mainmenu_options_graphics_terrain_never_info,"In this mode, multi-threading will never be used to accelerate the processing of voxel terrain.","Dans ce mode, le multi-threading ne sera jamais utilisé pour calculer le terrain."
##mainmenu_options_graphics_terrain_always,Always,Toujours
##mainmenu_options_graphics_terrain_always_info,"In this mode, multi-threading will always be used to accelerate the processing of voxel terrain. If minimal system requirements are not met, you may experience unpredictable terrain behavior.","Dans ce mode, le multi-threading sera toujours utilisé pour calculer le terrain. Si votre ordinateur ne rencontre pas les requis minimaux, vous pourriez rencontrer une multitude de comportements non souhaités."
##mainmenu_options_graphics_fogofwar,Fog of War Opacity,Opacité du Brouillard de Guerre
##mainmenu_options_graphics_fogofwar_info,Set the fog of war opacity,Ajustez l'opacité du brouillard de guerre
##mainmenu_options_graphics_canvasscale,UI Scale,Échelle de taille de l'IU
##mainmenu_options_graphics_canvasscale_info,Set the scale of the user interface (UI),Ajuster l'échelle de taille de l'interface usager (IU)
##mainmenu_options_graphics_ssao,Ambient Occlusion,Occlusion ambiante
##mainmenu_options_graphics_ssao_info,Set the quality of volume shadows screen space effect.,Changez la qualité de l'effet d'ombres volumétriques.
##mainmenu_options_graphics_ssao_high,High,Maximale
##mainmenu_options_graphics_ssao_medium,Medium,Intermédiaire
##mainmenu_options_graphics_ssao_low,Low,Limitée
##mainmenu_options_graphics_ssao_off,Off,Désactivée
##mainmenu_options_graphics_bloom,Light Bloom,Flou lumineux
##mainmenu_options_graphics_bloom_info,Enable or disable HDR light bloom screen effect.,Activez l'effet de flou lumineux.
##mainmenu_options_graphics_colorcorrection,Color Correction,Correction des couleurs
##mainmenu_options_graphics_colorcorrection_info,Enable or disable color remapping screen effect.,Activez l'effet de balance des couleurs.
##mainmenu_options_graphics_shadowquality,Shadow Sharpness,Ombres
##mainmenu_options_graphics_shadowquality_info,Set the quality of shadow outlines (soft shadows are more expensive).,Changez la qualité des contours d'ombres (les silhouettes demandent plus de performance).
##mainmenu_options_graphics_shadowquality_all,Hard and Soft,Contours et silhouettes
##mainmenu_options_graphics_shadowquality_hardonly,Hard Only,Contours seulement
##mainmenu_options_graphics_shadowquality_disable,Disabled,Désactivées
##mainmenu_options_graphics_shadowresolution,Shadow Resolution,Résolution des ombres
##mainmenu_options_graphics_shadowresolution_info,Set the resolution of shadow effects (higher resolution is more expensive).,Changez la résolution des ombres affichées dans le jeu s'il y a lieu.
##mainmenu_options_graphics_shadowresolution_veryhigh,Very High,Très élevée
##mainmenu_options_graphics_shadowresolution_high,High,Élevée
##mainmenu_options_graphics_shadowresolution_medium,Medium,Intermédiaire
##mainmenu_options_graphics_shadowresolution_low,Low,Limitée
,,
##mainmenu_options_audio,Audio,Audio
##mainmenu_options_audio_info,Audio game settings,Paramètres audio
##mainmenu_options_audio_mastervolume,Master Volume,Volume maître
##mainmenu_options_audio_mastervolume_info,Set the overall volume of all music and sounds,Ajustez le volume de toute la musique et des sons
##mainmenu_options_audio_muteallsounds,Mute all sounds,Couper tous les sons
##mainmenu_options_audio_muteallsounds_info,Toggle mute on all music and sounds,Basculez la coupure de toute la musique et des sons
##mainmenu_options_audio_userinterface,User interface,Interface Usager
##mainmenu_options_audio_userinterface_info,Set the sound level for UI,Ajustez le volume de l'interface usager
##mainmenu_options_audio_soundeffects,Sound Effects,Effets Sonores
##mainmenu_options_audio_soundeffects_info,Set the volume for SFX,Ajustez le volume des effets spéciaux
##mainmenu_options_audio_voices,Voices,Voix
##mainmenu_options_audio_voices_info,Set the volume for voices,Ajustez le volume des voix
##mainmenu_options_audio_environment,Environment,Environnement
##mainmenu_options_audio_environment_info,Set the volume for environmental sounds,Ajustez le volume des sons environnants
##mainmenu_options_audio_music,Music,Musique
##mainmenu_options_audio_music_info,Set the music volume,Ajustez le volume de la musique
,,
##mainmenu_options_gameplay,Gameplay,Jouabilité
##mainmenu_options_gameplay_info,Gameplay settings,Paramètres de jouabilité
,,
##mainmenu_options_networkport,Multiplayer port,Port multijoueur
##mainmenu_options_networkport_info,Set your multiplayer port,Assigner votre port multijoueur
,,
##mainmenu_options_language,Language,Langue
##mainmenu_options_language_info,Set your language,Choisissez votre langue
##mainmenu_options_languages,Languages,Langues
##mainmenu_options_language_ok,Ok,Ok
##mainmenu_options_language_cancel,Cancel,Annuler
##mainmenu_options_language_english,English,Anglais
##mainmenu_options_language_english_english,English,English
##mainmenu_options_language_french,French,Français
##mainmenu_options_language_french_english,French,French
,,
##mainmenu_options_mouseinput,Mouse Input,Souris
##mainmenu_options_mouseinput_scrollfactor,Mouse scroll factor,Vitesse du curseur
##mainmenu_options_mouseinput_scrollfactor_info,Set the mouse scroll speed factor,Ajustez le facteur de vitesse du curseur
##mainmenu_options_mouseinput_invertscroll,Invert mouse scroll,Inverser le défilement du curseur
##mainmenu_options_mouseinput_invertscroll_info,Toggle inversion of mouse scroll,Basculez l'inversion du défilement du curseur
##mainmenu_options_mouseinput_lockinside,Lock mouse,Verrouillage du curseur à l'écran
##mainmenu_options_mouseinput_lockinside_info,Lock mouse inside game window,Verrouiller le curseur à l'intérieur de la fenêtre de jeu
##mainmenu_options_mouseinput_edgenudge,Mouse screen edge nudge,Activer le contrôle de l'écran avec la souris
##mainmenu_options_mouseinput_edgenudge_info,Toggle mouse screen edge nudge,Basculez le contrôle de l'écran avec la souris
,,
##mainmenu_options_keybindings,Key Bindings,Contrôles
##mainmenu_options_keybindings_info,Set your key bindings,Ajustez vos contrôles
,,
##mainmenu_options_keybindings_command,Global,Global
##mainmenu_options_keybindings_command_info,Camera and selection,Caméra et sélection
##mainmenu_options_keybindings_taskpanel,Task Panel,Panneau de Tâches
##mainmenu_options_keybindings_taskpanel_info,Selecting a task,Sélectionner une tâche
##mainmenu_options_keybindings_blocks,Blocks,Blocs
##mainmenu_options_keybindings_blocks_info,Selecting a block,Sélectionner un bloc
##mainmenu_options_keybindings_structures,Structures,Structures
##mainmenu_options_keybindings_structures_info,Selecting a structure,Sélectionner un structure
##mainmenu_options_keybindings_worldeditor,World Editor,Éditeur de Monde
##mainmenu_options_keybindings_worldeditor_info,Exclusive to the world editor,Exclusif à l'éditeur de monde
##mainmenu_options_keybindings_crafting,Crafting,Artisanat
##mainmenu_options_keybindings_crafting_info,Crafting stations related,Relié aux stations d'artisanat
##mainmenu_options_keybindings_blueprint,Blueprint,Gestion de Plans
##mainmenu_options_keybindings_blueprint_info,Blueprint management mode,Mode gestion de plans
##mainmenu_options_keybindings_taskselected,Task Selected,Tâche Sélectionnée
##mainmenu_options_keybindings_taskselected_info,Generic task actions,Actions génériques de tâches
,,
##mainmenu_options_keybindings_primary,Primary,Primaire
##mainmenu_options_keybindings_alternate,Alternate,Alternatif
##mainmenu_options_keybindings_moveforward,Move Camera Forward,Avancer la Caméra
##mainmenu_options_keybindings_movebackward,Move Camera Backward,Reculer la Caméra
##mainmenu_options_keybindings_moveleft,Move Camera Left,Bouger la Caméra vers la Gauche
##mainmenu_options_keybindings_moveright,Move Camera Right,Bouger la Caméra vers la Droite
##mainmenu_options_keybindings_rotateup,Rotate Up,Rotation vers le Haut
##mainmenu_options_keybindings_rotatedown,Rotate Down,Rotation vers le Bas
##mainmenu_options_keybindings_rotateleft,Rotate Left,Rotation vers la Gauche
##mainmenu_options_keybindings_rotateright,Rotate Right,Rotation vers la Droite
##mainmenu_options_keybindings_toggleautoground,Snap Camera to Ground,Enchâsser Caméra au Sol
##mainmenu_options_keybindings_zoomin,Zoom In,Zoom Avant
##mainmenu_options_keybindings_zoomout,Zoom Out,Zoom Arrière
##mainmenu_options_keybindings_moveup,Move Camera Up,Monter la Caméra
##mainmenu_options_keybindings_movedown,Move Camera Down,Descendre la Caméra
##mainmenu_options_keybindings_mousemovement,Camera Free Movement,Mouvement Libre de la Caméra
##mainmenu_options_keybindings_mousealtaction,Mouse Action Modifier 1,Action Alternative de la Souris 1
##mainmenu_options_keybindings_mousesecondary,Mouse Action Modifier 2,Action Alternative de la Souris 2
##mainmenu_options_keybindings_displayoverheads,Display Overheads,Afficher les Noms des Personnages
##mainmenu_options_keybindings_togglebuildmode,Toggle Build Mode,Commuter le Mode Construction
