Keys,French (Canada)
##gamemenu_taskbar_construction_topbar,Tâche de Construction
##gamemenu_taskbar_construction,Construction
##gamemenu_taskbar_construction_text,"Permet de placer des briques, des structures et des palettes."
##gamemenu_taskbar_constructioncrew,GroupeConstruction
##gamemenu_taskbar_constructioncrew_text,"Sélectionne vos travailleurs.
Shift-Clique pour augmenter la priorité de la tâche.
Ctrl-Clique pour diminuer la priorité de la tâche."
##gamemenu_taskbar_quarry_topbar,Tâche d'Excavation
##gamemenu_taskbar_quarry,Carrière
##gamemenu_taskbar_quarry_text,Cliquez ici pour changer la taille de cette tâche.
##gamemenu_taskbar_quarrycrew,GroupeCarrière
##gamemenu_taskbar_quarrycrew_text,"Sélectionne vos travailleurs.
Shift-Clique pour augmenter la priorité de la tâche.
Ctrl-Clique pour diminuer la priorité de la tâche."
##gamemenu_taskbar_cleanup_topbar,Tâche de Ménage
##gamemenu_taskbar_cleanup,Ménage
##gamemenu_taskbar_cleanup_text,Cliquez ici pour changer la taille de cette tâche.
##gamemenu_taskbar_cleanupcrew,GroupeMénage
##gamemenu_taskbar_cleanupcrew_text,"Sélectionne vos travailleurs.
Shift-Clique pour augmenter la priorité de la tâche.
Ctrl-Clique pour diminuer la priorité de la tâche."
##gamemenu_taskbar_harvest_topbar,Tâche de Récolte
##gamemenu_taskbar_harvest,Récolte
##gamemenu_taskbar_harvest_text,Cliquez ici pour changer la taille de cette tâche.
##gamemenu_taskbar_harvestcrew,GroupeRécolte
##gamemenu_taskbar_harvestcrew_text,"Sélectionne vos travailleurs.
Shift-Clique pour augmenter la priorité de la tâche.
Ctrl-Clique pour diminuer la priorité de la tâche."
##gamemenu_taskbar_repair_topbar,Tâche de Réparation
##gamemenu_taskbar_repair,Réparation
##gamemenu_taskbar_repair_text,Cliquez ici pour choisir quelles briques doivent êtres réparées.
##gamemenu_taskbar_repaircrew,GroupeRéparation
##gamemenu_taskbar_repaircrew_text,"Sélectionne vos travailleurs.
Shift-Clique pour augmenter la priorité de la tâche.
Ctrl-Clique pour diminuer la priorité de la tâche."
##gamemenu_taskbar_landscape_topbar,Tâche d'aplanissement
##gamemenu_taskbar_landscape,Aplanir
##gamemenu_taskbar_landscape_text,Cliquez ici pour choisir où aplanir le sol.
##gamemenu_taskbar_landscapecrew,GroupeAplanir
##gamemenu_taskbar_landscapecrew_text,"Sélectionne vos travailleurs.
Shift-Clique pour augmenter la priorité de la tâche.
Ctrl-Clique pour diminuer la priorité de la tâche."
##gamemenu_taskbar_tunnel_topbar,Tâche de tunnel
##gamemenu_taskbar_tunnel,Tunnel
##gamemenu_taskbar_tunnel_text,Cliquez ici pour créer de nouveaux tunnels à excaver.
##gamemenu_taskbar_tunnelcrew,GroupeExcavation
##gamemenu_taskbar_tunnelcrew_text,"Sélectionne vos travailleurs.
Shift-Clique pour augmenter la priorité de la tâche.
Ctrl-Clique pour diminuer la priorité de la tâche."
##gamemenu_taskbar_idle,Ouvriers
##gamemenu_taskbar_idle_text,"Vos ouvriers sont affichés ici.
Les ouvriers passifs sont à gauche.
Les ouvriers actifs sont à droite."
##gamemenu_taskbar_idlecrew,Ouvriers Passifs
##gamemenu_taskbar_idlecrew_text,"Vos ouvriers passifs sont affichés ici.
Si vous donnez un ordre à un ouvrier, il devient passif. Les ouvriers passifs Retournent au travail après quelques secondes."
##gamemenu_taskbar_active,Ouvriers Actifs
##gamemenu_taskbar_active_text,"Vos ouvriers actifs sont affichés ici.
Ils choisissent eux-mêmes sur quelle tâche travailler."
##gamemenu_taskbar_newtask,Nouvelle Tâche
##gamemenu_taskbar_newtask_text,"Cliquez ici pour créer une nouvelle tâche.
Pour des briques et des palettes, utilisez la tâche de construction.
Pour ramasser des ressources, utilisez la tâche de récolte."
##gamemenu_taskbar_meleeunits,Mêlée
##gamemenu_taskbar_meleeunits_text,"Vos unités de combat au corps-à-corps sont affichées ici.
"
##gamemenu_taskbar_rangedunits,Portée
##gamemenu_taskbar_rangedunits_text,"Vos unités d'attaque à distance sont affichées ici.
"
##gamemenu_taskbar_select,Sélection
##gamemenu_taskbar_priority,Priorité
##gamemenu_taskbar_locked,Barré
##gamemenu_taskbar_low,Basse
##gamemenu_taskbar_medium,Medium
##gamemenu_taskbar_high,Élevée
##gamemenu_taskbar_edit,Modifier
##gamemenu_taskbar_close,Fermer
##task_actions_lowerpriority,Baisser priorité
##task_actions_lowerpriority_info,<color=#ffc50a>Baisser priorité</color>\n\nRend la tâche moins urgente
##task_actions_raisepriority,Monter priorité
##task_actions_raisepriority_info,<color=#ffc50a>Monter priorité</color>\n\nRend la tâche plus urgente
,
##gamemenu_topmenu_settings,Options
##gamemenu_topmenu_toggledebug,Interrupteur Affichage Debug
##gamemenu_topmenu_fogofwar,Brouillard de Guerre
##gamemenu_topmenu_mainmenu,Menu Principal
##gamemenu_topmenu_xray,Rayon X
##gamemenu_topmenu_mute,Muet
##gamemenu_topmenu_screenshot,Capture d'Écran
##gamemenu_topmenu_quicksave,Sauvegarde Rapide
##gamemenu_topmenu_pause,Pause
##gamemenu_topmenu_Alerts,Alertes
##gamemenu_topmenu_editorcamera,Caméra Mode Éditeur
##gamemenu_topmenu_speedx2,Vitesse x2
##gamemenu_topmenu_audiodebug,Debug Audio
##gamemenu_topmenu_gc,Collecte Mémoire
,
DEBUG,
##gamemenu_debug_modedisplay,Mode Debug
##gamemenu_debug_title,Debug
##gamemenu_debug_disclaimer,Certains outils dans ce panneau de debug peuvent causer une baisse de performance ou briser le jeu. Considérez faire une copie de votre sauvegarde avant de l'utiliser.
##gamemenu_debug_instantbuild,Construction Instantanée
##gamemenu_debug_timex2,Vitesse x2
##gamemenu_debug_timeofday,Temps de la journée
##gamemenu_debug_pausedaytime,Arrêt du Cycle Circadien
##gamemenu_debug_currenttime,Heure Actuelle
##gamemenu_debug_spawnbricktrons,Créer des Bricktrons
##gamemenu_debug_worker,Travailleur
##gamemenu_debug_knight,Chevalier
##gamemenu_debug_archer,Archer
##gamemenu_debug_halberdier,Hallebardier
##gamemenu_debug_arbalist,Arbalétrier
##gamemenu_debug_artificer,Artificier
##gamemenu_debug_alchemist,Alchimiste
##gamemenu_debug_spawncorruptrons,Créer des Corruptrons
##gamemenu_debug_minitron,Minitron
##gamemenu_debug_corruptron,Corruptron
##gamemenu_debug_biftron,Biftron
##gamemenu_debug_magitron,Sorcier
,
GENERIC SYSTEM STRINGS,
##faction_blue,Bleu
##faction_red,Rouge
##faction_green,Vert
##faction_orange,Orange
##faction_corruptrons,Corruptrons
##faction_spectators,Spectateurs
##faction_neutral,Neutre
,
##team_a,Équipe A
##team_b,Équipe B
##team_c,Équipe C
##team_d,Équipe D
,
##saved_map,Carte Sauvegardée
##saved_game,Partie Sauvegardée
,
GAMEMODES,
##mode,Mode
##mode_sandbox,Construction Libre
##mode_sandbox_info,Le mode de jeu fait pour les créatifs et pacifistes. Pas d'enemis veut dire que vous pouvez construire ce dont vous voulez et ce à votre rythme.
##mode_sandbox_intro,"Ceci est le mode <b>Construction Libre</b>.

Ici, vous pouvez faire ce que vous voulez.
Il n'y a ni limite de temps ni Corruptrons, alors vous pouvez bâtir sans inquiétudes.
Utilisez ce mode pour explorer le jeu et pratiquer l'art de construire des châteaux. 

Amusez-vous!"
##mode_sandbox_intro_start,Je suis prêt!
##mode_sandbox_intro_start_info,Commencez la partie
##mode_conquest,Conquête
##mode_conquest_info,Des troupeaux de corruptrons parcourent le paysage. Pouvez-vous amasser une force assez puissante pour les éjecter?
##mode_conquest_intro,"Les Corruptrons ont finalement mis pieds sur terre sur votre ile. Dans peu de temps, ils auront étendu leur influence corrompue auprès de tous les cristaux magiques de l'ile.\nSeul vous pouvez les en empêcher.\n\nEn êtes vous capable?"
##mode_conquest_intro_start,Je suis prêt!
##mode_conquest_intro_start_info,Commencez la partie
##mode_conquest_victory,Victoire!
##mode_conquest_victory_info,Vous avez écrasé toute opposition à votre régime. Votre génie stratégique et votre ingénierie supérieure ont eu raison de vos adversaires et vous contrôlez maintenant les Îles. Vous serez éternellement commémoré glorieusement comme un dirigeant sans égal.
##mode_conquest_victory_quit,Quitter
##mode_conquest_victory_quit_info,Retourner au menu principal
##mode_conquest_defeat,Défaite!
##mode_conquest_defeat_info,"Vos ennemis ont conquis votre Cristal.
Les Bricktrons qui survécurent furent exilés. Ils poursuivent maintenant de nouveaux horizons et cherchent une nouvelle ile où habiter."
##mode_conquest_defeat_quit,Quitter
##mode_conquest_defeat_quit_info,Retourner au menu principal
##mode_conquest_defeat_continue,Rester
##mode_conquest_defeat_continue_info,Continuer comme spectateur
##mode_invasion,Invasion
##mode_invasion_info,Des corruptrons attaquent votre château en vagues de plus en plus difficiles. Vos prouesses et votre determination sont vos meilleures armes.
##mode_invasion_intro,Votre temps est compté.\n\nDes hordes de Corruptrons enragés sont à l'horizon. Chaque vague deviendra de plus en plus difficile. Votre seule option est d'ériger des fortifications autour de votre cristal et d'espérer la clémence de vos ennemis.\n\nBonne chance!
##mode_invasion_intro_start,Je suis prêt!
##mode_invasion_intro_start_info,Commencez la partie
##mode_invasion_victory,Victoire!
##mode_invasion_victory_info,"Avec votre coeur au ventre et votre détermination devant l'adversité, vous avez triomphé du mode <b>Invasion</b>. Vous pouvez continuer à jouer, mais le nombre croissant de Corruptrons aura éventuellement raison de votre ordinateur."
##mode_invasion_victory_quit,Quitter
##mode_invasion_victory_quit_info,Retourner au menu principal
##mode_invasion_victory_continue,Continuer
##mode_invasion_victory_continue_info,Continuez de jouer
##mode_invasion_defeat,Défaite!
##mode_invasion_defeat_info,"Ainsi, la jadis glorieuse contrée sur laquelle règnait les Bricktrons fût conquise par les impitoyables Corruptrons."
##mode_invasion_defeat_quit,Quitter
##mode_invasion_defeat_quit_info,Retourner au menu principal
##mode_invasion_nextwave,Prochaine vague débute dans:
##mode_invasion_skip,Escamoter
##mode_invasion_hidden,(Caché)
##mode_invasion_wave,Vague
##mode_invasion_killcount,Ennemis vaincus: 
##mode_invasion_wavesurvived_one,Vous avez survécu à #waves_survived vague.
##mode_invasion_wavesurvived_many,Vous avez survécu à #waves_survived vagues.
##mode_worldeditor,Éditeur de Monde
##mode_worldeditor_info,Créer ou modifier une carte existante
##mode_creditisland,Ile de la Renommée
##mode_creditisland_intro,"La légende dit que ces iles contiennent les âmes perdues de 30 000 backers. Ces âmes, emprisonnées sous plusieurs couches de roc solide, n'attendent que le jour où elles seront libérées!"
##mode_creditisland_intro_start,Je suis prêt!
##mode_creditisland_intro_start_info,Commencez la partie
##mode_unsupported,Non supporté
##mode_noneselected,Aucun selectionné
##mode_nonesupported,Aucun supporté
##mode_gtg,Ramasse les Gemmes
##mode_gtg_info,Ramasse les Gemmes est un mode multijoueur dans lequel vous devez ramener des gemmes à votre cristal principal. L'équipe qui ramène le plus de gemmes gagne!
##mode_gtg_intro,"Pour gagner la partie dans le mode Ramasse les Gemmes, vous devez ramasser #gems_to_win gemmes et les déposer dans votre cristal principal.
Utilisez un ouvrier pour ramasser une gemme dans son carré en faisant clic-droit. Déposez une gemme dans votre cristal en faisant clic-droit avec un ouvrier qui en transporte une.
Considérez défendre les carrés de gemmes et chasser les travailleurs ennemis qui tentent de ramener des gemmes à leur cristal.
Amusez-vous et bonne chance!"
##mode_gtg_intro_start,Je suis prêt!
##mode_gtg_intro_start_info,À la chasse!
##mode_gtg_gemscollected_one,Vous avez ramassé #gem_count gemme!
##mode_gtg_gemscollected_many,Vous avez ramassé #gem_count gemmes!
##mode_gtg_timebeforenextgem,Prochaine gemme dans:
##mode_gtg_victory,Victoire!
##mode_gtg_victory_info,Vous êtes victorieux! Vous êtes le premier à avoir ramassé toutes les gemmes nécéssaires. Fabuleux! Outrageux!
##mode_gtg_victory_quit,Quitter la partie
##mode_gtg_victory_quit_info,Retourner au menu principal
##mode_gtg_defeat,Défaite!
##mode_gtg_defeat_info,"Vous avez perdu. \n
Une autre faction que la vôtre a ramassées les gemmes nécéssaires avant vous.\n
Vos Brickrons, privés du pouvoir que leur confèrent les gemmes, vivront dans la honte jusqu'à la prochaine bataille!"
##mode_gtg_defeat_quit,Quitter la partie
##mode_gtg_defeat_quit_info,Retourner au menu principal
,
PRESETS,
##mode_preset,Préréglage
##mode_preset_noneselected,Aucun selectionné
##mode_sandbox_preset_lightsout,Mode Obscurité
##mode_sandbox_default,Défaut
##mode_conquest_preset_easy,Facile
##mode_conquest_preset_normal,Normal
##mode_conquest_preset_hard,Difficile
##mode_conquest_preset_normallightsout,Normal Mode Obscurité
##mode_conquest_preset_versus,Versus
##mode_conquest_preset_coopeasy,Coopératif Facile
##mode_conquest_preset_coopnormal,Coopératif Normal
##mode_conquest_preset_coophard,Coopératif Difficile
##mode_conquest_preset_coopnormallightsout,Coopératif Normal Mode Obscurité
##mode_invasion_preset_easy,Facile
##mode_invasion_preset_normal,Normal
##mode_invasion_preset_normallightsout,Normal Mode Obscurité
##mode_invasion_preset_hard,Difficile
##mode_invasion_preset_very_hard,Very Difficile
##mode_invasion_preset_coop_easy,Coopératif Facile
##mode_invasion_preset_coop_normal,Coopératif Normal
##mode_invasion_preset_coop_normallightsout,Coopératif Normal Mode Obscurité
##mode_invasion_preset_coop_hard,Coopératif Difficile
##mode_worldeditor_preset_default,Défaut
##mode_creditisland_preset_default,Ile de la Renommée
##mode_gtg_preset_default,Défaut
##mode_gtg_preset_default_info,Présélection par défaut.
##mode_gtg_preset_extended,Prolongé
##mode_gtg_preset_extended_info,Les gemmes vont prendre plus de temps à apparaître
,
##mode_tutorial,Tutoriel
##mode_tutorial_info,
##mode_tutorial_preset_default,Défaut
##mode_tutorial_sendcorruptron,Vague de Corruptrons
,
##mapmenu_size,Taille
##mapmenu_size_small,Petite
##mapmenu_size_medium,Moyenne
##mapmenu_size_large,Grande
,
##mapmenu_maxplayers,Max de Joueurs
,
##gamemenu_corrupted,Corrompu
##gamemenu_player,Joueur
,
##mapmenu_delete,Effacer
##mapmenu_delete_info,Supprimer la sauvegarde de votre disque.
##mapmenu_delete_confirmation,Effacer Confirmation
##mapmenu_delete_confirmation_message,Cette action va effacer ce fichier pour toujours.\nVous ne pourrez pas revenir en arrière.\nContinuer?
##mapmenu_delete_confirmation_confirm,Oui! Effacer.
##mapmenu_delete_confirmation_cancel,Annuler
,
##mainmenu_none,Écrivez votre message
,
DATETIME,
##datetime_dateformat,#weekday le #monthday #month #year
,
##datetime_month_january,Janvier
##datetime_month_february,February
##datetime_month_march,Mars
##datetime_month_april,Avril
##datetime_month_may,Mai
##datetime_month_june,Juin
##datetime_month_july,Juillet
##datetime_month_august,Aout
##datetime_month_september,Septembre
##datetime_month_october,Octobre
##datetime_month_november,Novembre
##datetime_month_december,Decembre
,
##datetime_weekday_sunday,Dimanche
##datetime_weekday_monday,Lundi
##datetime_weekday_tuesday,Mardi
##datetime_weekday_wednesday,Mercredi
##datetime_weekday_thursday,Jeudi
##datetime_weekday_friday,Vendredi
##datetime_weekday_saturday,Samedi
,
THOUGHTS,
##thought_unknown,Hmm
##thought_cant_repair,Je ne peux pas réparer cela
##thought_cant_transformlog,Je ne peux pas équarrir cette bûche
##thought_works_accounted,Les autres se débrouillent
##thought_reach_destination,Je ne peux pas atteindre ma destination
##thought_cant_choptrees,Je ne peux pas bûcher du bois
##thought_nothingtodo,Je n'ai rien à faire
##thought_thinking,Je réfléchis...
##thought_cant_break,Je ne peux pas briser de bloc en ce moment
##thought_looking_for_storage,Je cherche un espace de stockage
##thought_could_not_find_storage,Aucun espace de stockage
##thought_inventory_empty,Mon inventaire est vide
##thought_storage_full,Mon espace de stockage prévu est plein
##thought_storage_noexist,Mon lieu d'entreposage n'existe plus
##thought_cant_find,Je ne trouve pas ce dont j'ai besoin
##thought_cant_collect_plants,Je ne peux pas cueillir des plantes en ce moment
##thought_inventory_full,Je suis trop chargé
##thought_already_enough_workers_doing_goal,Il y a suffisamment d'ouvriers sur cette tâche
##thought_job_notforme,Ce travaille n'est pas pour moi
##thought_enough_workers_in_project,Il n'y a plus de place pour moi
##thought_carrying_toomuch_todig,Je suis trop chargé pour creuser
##thought_not_grounded,Wouhhouhh!
##thought_target_is_too_far_away,Ma cible est trop éloignée
##thought_object_has_changed_container,Quelqu'un m'a pris mes ressources!
##thought_object_was_converted,Mes ressources ont été converties
##thought_object_in_someone_else_bag,Ce dont j'ai besoin est dans le sac de quelqu'un d'autre
##thought_will_not_betray_my_friends,Je ne trahirai pas mes amis
##thought_target_is_dead,Arrêtez! Y'est déjà mort!
##thought_voxel_was_built_over,On a bâti sur mon voxel
##thought_area_is_too_dangerous,Cet endroit est trop dangereux
##thought_looking_for_path_to_tree,J'essaie d'atteindre les arbres
,
##loading_tip_right_click_pie_menu,Maintient le bouton droit de la souris sur différents objets tel que la fournaise pour afficher un menu contextuel. Le menu offre différentes actions selon ce qui est selectionné et ce qui se trouve sous le pointeur.
##loading_tip_move_attack,Shift + Clic-Droit avec des unités militaires sélectionnées pour leur donner l'ordre de bouger et attaquer.
##loading_tip_discord,Rejoignez le serveur Discord officiel de Castle Story pour rencontrer d'autres joueurs! www.castlestory.net/Discord
##loading_tip_alchemist_ammo,Rechargez les munitions d'un Alchimiste en le sélectionnant et en faisant Clic-Droit sur une palette contenant des bombes.
##loading_tip_bear_traps,Mettez des pièges à ours dans un goulot d'étranglement pour ralentir les ennemis et permettre à vos unités d'attaque à distance de les éliminer avant qu'ils n'atteignent votre château.
##loading_tip_quarry_stairs,Vous pouvez changer la position des escaliers dans une carrière avant d'avoir confirmé la tâche en cliquant sur l'option correspondante dans le menu contextuel au bas de votre écran.
##loading_tip_tunnels_direction,Vous pouvez creuser des tunnels ascendants ou descendants en cliquant sur l'option correspondante dans le menu contextuel au bas de votre écran.
##loading_tip_xray,Activez le mode Rayon-X dans le panneau réglages en haut à droite de votre écran. Utilisez Shift + Roulette pour voir au travers des montagnes et des blocs.
##loading_tip_repair_task,Placez une tâche de réparation sur des blocs de pierre ou de bois pour qu'ils soient réparés en cas de dommages.
##loading_tip_missing_storage,"Si vos Bricktrons refusent de travailler, assurez-vous d'avoir l'espace de rangement adéquat (palettes et râteliers)."
##loading_tip_toggle_artificer,Appuyez sur H pour alterner entre le mode Guérison ou Attaque de l'Artificier.
##loading_tip_toggle_knight,"Appuyez sur H pour alterner entre le mode Attaque ou Défense du chevalier, où ils peuvent bloquer les projectiles."
##loading_tip_funny_first_name,Les Bricktrons préfèrent être appellés par leur prénom.
##loading_tip_funny_reboot,"Lorsque deux Bricktrons deviennent amis, c'est pour la vie, ou jusqu'à ce que vous redémarriez votre ordinateur."
##loading_tip_funny_courtship,Le rituel de parade nuptiale des Bricktrons est à la fois raffiné et subtil.
##loading_tip_funny_high_tower,Perdue fût la capacité des Bricktrons à parler de façon intelligible lorsqu'ils construisirent une tour un peu trop haute.
##loading_tip_funny_mirror_image,Les Bricktrons ne reconnaissent pas leur propre reflet dans le miroir.
##loading_tip_funny_bycocket,Le type de chapeau porté par les hallebardiers bricktrons est un chapel de Montauban. Sans blague.
##loading_tip_archers_range,Les archers et arbalistes gagnent un bonus de portée lorsque perchés en hauteur. Placez les  sur vos murs.
##loading_tip_piemenu_stockpiles,Utilisez le menu contextuel sur vos palettes pour restreindre les ressources qu'elles peuvent contenir.
##loading_tip_landscape,Vous pouvez utiliser la tâche d'aplanissement pour aplanir du terrain inégal.
##loading_tip_braces,Vous pouvez construire des poutres plus longues si vous placez des équerres en dessous.
##loading_tip_funny_bougre,b0uGr3 waZ H3eR
,
RESOURCES,
##resource_empty,Vide
##resource_empty_info,Vide
##resource_stoneblock,Brique
##resource_stoneblock_info,Bloc principalement utilisé dans la construction de châteaux.
##resource_woodblock,Bûche
##resource_woodblock_info,Peut être coupé en planches au bloc de coupe.
##resource_plankblock,Planche
##resource_plankblock_info,Principale ressource utilisée dans la construction de structures en bois.
##resource_stones,Garnottes
##resource_stones_info,La garnotte peut être combinée en briques ou transformée en verre.
##resource_iron,Lingot de Fer
##resource_iron_info,"Peut être forgé en divers objets, incluant armes, armures et engrenages."
##resource_bluecrystal,Cristal Bleu
##resource_bluecrystal_info,Y revient-tu ou y revient-tu pas??
##resource_orangecrystal,Soufre
##resource_orangecrystal_info,Sert de carburant pour la fournaise et dans la concoction d'explosifs.
##resource_sentinelward,Balise Sentinelle
##resource_sentinelward_info,Cette balise attaque les ennemis à proximité.
##resource_healingward,Balise de Guérison
##resource_healingward_info,Les Bricktrons dans la sphère d'influence de cette balise reprennent des points de vie.
##resource_captureward,Balise de Capture
##resource_captureward_info,Placez cette balise à côté d'un fragment pour le capturer.
##resource_lanternward,Balise Lanterne
##resource_lanternward_info,Cette balise émet de la lumière. Elle va émettre plus de lumière lorsque connectée à un cristal.
##resource_pylonward,Balise Pylône
##resource_pylonward_info,Cette balise transmet de l'énergie à d'autres balises.
##resource_plant,Plante
##resource_plant_info,La fibre végétale extraite de ces plantes sert à fabriquer de la corde et du textile.
##resource_rope,Corde
##resource_rope_info,Utilisée dans la fabrication de ponts de corde et d'arcs.
##resource_fabric,Textile
##resource_fabric_info,Requis pour fabriquer la plupart de l'équipement militaire.
##resource_rawiron,Fer
##resource_rawiron_info,Minerai non raffiné. Peut être fondu en lingots.
##resource_glass,Verre
##resource_glass_info,Sert dans la production de biens au laboratoire.
##resource_cog,Engrenage
##resource_cog_info,Sert à fabriquer la manufacture et des arbalètes.
##resource_bomb,Bombe
##resource_bomb_info,Sert de munition pour l'alchimiste.
##resource_explosivebarrel,Baril Explosif
##resource_explosivebarrel_info,Sert de munition pour la catapulte.
,
RECIPES,
##recipe_requires,Requiert
##recipe_none,Aucune
##recipe_none_info,Aucune
##recipe_ironingot,Lingot de Fer
##recipe_ironingot_info,"Peut être forgé en divers objets, incluant armes, armures et engrenages."
##recipe_glassingot,Verre
##recipe_glassingot_info,Sert dans la production de biens au laboratoire.
##recipe_cog,Engrenage
##recipe_cog_info,Sert à fabriquer la manufacture et des arbalètes.
##recipe_bomb,Bombe
##recipe_bomb_info,Sert de munition pour l'alchimiste.
##recipe_beartrap,Piège à Ours
##recipe_beartrap_info,Le piège à ours immobilise temporairement quiconque met le pied dessus.
##recipe_explosivebarrel,Baril Explosif
##recipe_explosivebarrel_info,Sert de munition pour la catapulte.
##recipe_fabricpile,Rouleau de Textile
##recipe_fabricpile_info,Requis pour fabriquer la plupart de l'équipement militaire.
##recipe_ropeballot,Ballot de Corde
##recipe_ropeballot_info,Utilisée dans la fabvrication de ponts de corde et d'arcs.
##recipe_planks,Planches
##recipe_planks_info,Principale ressource utilisée dans la construction de structures en bois.
##recipe_sentinelward,Balise Sentinelle
##recipe_sentinelward_info,Cette balise attaque les ennemis à proximité.
##recipe_healingward,Balise de Guérison
##recipe_healingward_info,Les Bricktrons dans la sphère d'influence de cette balise reprennent des points de vie.
##recipe_captureward,Balise de Capture
##recipe_captureward_info,Placez cette balise à côté d'un fragment pour le capturer.
##recipe_lanternward,Balise Lanterne
##recipe_lanternward_info,Cette balise émet de la lumière. Elle va émettre plus de lumière lorsque connectée à un cristal.
##recipe_pylonward,Balise Pylône
##recipe_pylonward_info,Cette balise transmet de l'énergie à d'autres balises.
##recipe_sword,Épée
##recipe_sword_info,Partie intégrale du kit de chevalier.
##recipe_shield,Bouclier
##recipe_shield_info,Partie intégrale du kit de chevalier.
##recipe_helmet,Armet Florentin
##recipe_helmet_info,Partie intégrale du kit de chevalier.
##recipe_bow,Arc
##recipe_bow_info,Partie intégrale du kit d'archer.
##recipe_quiver,Carquois
##recipe_quiver_info,Partie intégrale du kit d'archer.
##recipe_cap,Chapeau
##recipe_cap_info,Partie intégrale du kit d'archer.
##recipe_arbalistweapon,Arbalète
##recipe_arbalistweapon_info,Partie intégrale du kit d'arbalétrier.
##recipe_arbalistpouch,Carreaux
##recipe_arbalistpouch_info,Partie intégrale du kit d'arbalétrier.
##recipe_arbalistcap,Kepi
##recipe_arbalistcap_info,Partie intégrale du kit d'arbalétrier.
##recipe_alchemistpouch,Besace
##recipe_alchemistpouch_info,Partie intégrale du kit d'alchimiste.
##recipe_alchemisthat,Bonnet
##recipe_alchemisthat_info,Partie intégrale du kit d'alchimiste.
##recipe_artificerstaff,Bâton
##recipe_artificerstaff_info,Partie intégrale du kit d'artificier.
##recipe_artificersatchel,Sacoche
##recipe_artificersatchel_info,Partie intégrale du kit d'artificier.
##recipe_artificerhat,Chapka
##recipe_artificerhat_info,Partie intégrale du kit d'artificier.
##recipe_poleaxe,Hache D'Armes
##recipe_poleaxe_info,Partie intégrale du kit d'hallebardier.
##recipe_kettlehat,Chapel de Montauban
##recipe_kettlehat_info,Partie intégrale du kit d'hallebardier.
##recipe_knightkit,Kit de Chevalier
##recipe_knightkit_info,Les chevaliers sont de lentes mais robustes unités de mêlée qui excellent à bloquer les projectiles.
##recipe_archerkit,Kit D'Archer
##recipe_archerkit_info,Les archers sont des unités à longue portée versatiles et peu coûteuses.
##recipe_arbalistkit,Kit D'Arbalétrier
##recipe_arbalistkit_info,"Les arbalétriers sont lents, mais infligent beacoup de dégâts à très longue portée."
##recipe_halberdierkit,Kit D'Hallebardier
##recipe_halberdierkit_info,Les hallebardiers sont des unités de mêlée rapides et peu coûteuses.
##recipe_alchemistkit,Kit D'Alchimiste
##recipe_alchemistkit_info,Les alchimistes lancent des bombes qui infligent des dégâts de zone et brisent les murs.
##recipe_artificerkit,Kit D'Artificier
##recipe_artificerkit_info,Les artificiers peuvent soit lancer des projectiles ou guérir leur alliés
,
OPERABLES,
##operable_craft,Fabriquer
##operable_resources_requirements,Requis
##operable_resources_finished,Terminé
##operable_queue,File d'attente
##operable_queue_toggle_looping,Interrupteur de cyclage
##operable_queue_toggle_looping_info,Cette station va produire l'item sélectionné indéfiniment.
##operable_queue_clear,Effacer
##operable_queue_clear_info,Vide la ligne de production.
##operable_furnace,Fournaise
##operable_furnace_info,Permet aux Bricktrons de fondre des métaux.
##operable_workbench,Établi
##operable_workbench_info,L'établi permet de fabriquer des lanternes.
##operable_choppingblock,Bloc de Coupe
##operable_choppingblock_info,Coupez vos billots en planches à cette station.
##operable_laboratory,Laboratoire
##operable_laboratory_info,"Tout matériel explosif est fabriqué à cette station, incluant barils explosifs, bombes et kits d'alchimiste."
##operable_loom,Métier à Tisser
##operable_loom_info,Cette station vous permet de tisser de la fibre végétale en corde et en textile.
##operable_forge,Forge
##operable_forge_info,La forge vous permet de transformer vos lingots en kits de chevalier et en engrenages.
##operable_machineshop,Manufacture
##operable_machineshop_info,"Toute contraption mécanique est fabriquée ici, comme les pièges à ours et les kits d'arbalétriers."
##operable_altar,Autel
##operable_altar_info,"Tout item puisant dans la mystérieuse source d'énergie qui émane des cristaux est fabriqué ici, incluant balises et kits d'artificier."
,
TASKS,
##task_build,Bâtir
##task_build_info,<color=#ffc50a>Bâtir</color>\n\nTâche de construction de blocs et structures.
##task_quarry,Carrière
##task_quarry_info,<color=#ffc50a>Carrière</color>\n\nTâche pour creuser le sol et récolter de la pierre.
##task_cleanup,Ménage
##task_cleanup_info,<color=#ffc50a>Ménage</color>\n\nPour ramasser les objets qui jonchent le sol.
##task_harvest,Récolte
##task_harvest_info,<color=#ffc50a>Récolte</color>\n\nTâche pour récolter des ressources à la surface.
##task_repair,Réparation
##task_repair_info,<color=#ffc50a>Réparation</color>\n\nPermet de réparer des structures ou blocs endommagés.
##task_landscape,Aplanir
##task_landscape_info,<color=#ffc50a>Aplanir</color>\n\nPermet d'aplanir le terrain.
##task_tunnel,Tunnel
##task_tunnel_info,<color=#ffc50a>Tunnel</color>\n\nPour creuser horizontalement.
##task_idle,Cristal
##task_idle_info,<color=#ffc50a>Cristal</color>\n\nTâche pour les Bricktrons qui relaxent.
##task_goals,Buts
##task_options,Options
##task_all_goals,Buts
