Keys,English (Canada)
##datetime_weekday_friday,Friday
##datetime_weekday_saturday,Saturday
,
THOUGHTS,
##thought_unknown,Hmm
##thought_cant_repair,I can't repair this
##thought_cant_transformlog,I cannot transform this log
##thought_works_accounted,The others are doing fine
##thought_reach_destination,Can't reach my destination
##thought_cant_choptrees,Can't cut trees
##thought_nothingtodo,Nothing to do
##thought_thinking,Thinking...
##thought_cant_break,I can't break a block right now
##thought_looking_for_storage,Looking for storage
##thought_could_not_find_storage,Could not find storage.
##thought_inventory_empty,My inventory is empty
##thought_storage_full,My destination storage became full
##thought_storage_noexist,My destination storage no longer exists
##thought_cant_find,Can't find what I need
##thought_cant_collect_plants,I can't collect plants right now.
##thought_inventory_full,I can't carry any more
##thought_already_enough_workers_doing_goal,Already enough workers on the task
##thought_job_notforme,This job is not right for me.
##thought_enough_workers_in_project,No space left for me to join
##thought_carrying_toomuch_todig,Carrying too much to dig
##thought_not_grounded,Woaaahhhhh!
##thought_target_is_too_far_away,Can't aim at target
##thought_object_has_changed_container,Someone took my resource!
##thought_object_was_converted,My resources got converted
##thought_object_in_someone_else_bag,What I need is in someone else's bag
##thought_will_not_betray_my_friends,I will not betray my friends
##thought_target_is_dead,My target is already dead
##thought_voxel_was_built_over,My voxel was built over
##thought_area_is_too_dangerous,This area is too dangerous
##thought_looking_for_path_to_tree,Trying to reach trees
,
##loading_tip_right_click_pie_menu,Hold right-click on various objects such as the furnace to get a contextual menu. The menu will offer different actions depending on what is selected or hovered.
##loading_tip_move_attack,Shift + Right-Click with military units selected to order them to move-attack.
##loading_tip_discord,Join the official Discord to find fellow Castle Story players! www.castlestory.net/Discord
##loading_tip_alchemist_ammo,Replenish an Alchemist’s ammo by selecting the unit and right-clicking a stockpile with bombs.
##loading_tip_bear_traps,Build bear traps on chokepoints to slow enemies down and allow ranged units to take them out before they reach your castle.
##loading_tip_quarry_stairs,"You can only change the position of a quarry’s stairs before confirming the task, by clicking the button in the options panel at the bottom of your screen."
##loading_tip_tunnels_direction,"You can make tunnels go upwards or downwards with the buttons in the options panel at the bottom of your screen, when in the Tunnel task."
##loading_tip_xray,"Turn on X-Ray mode in the settings panel at the top right of your screen, then shift + scroll to see through buildings and mountains."
##loading_tip_repair_task,Place a repair task on existing stone and wooden blocks to automatically have them repaired if they take damage.
##loading_tip_missing_storage,"If your Bricktrons won’t work, make sure you have adequate storage ( empty stockpiles or weapon racks )."
##loading_tip_toggle_artificer,Press H to toggle your Artificer between healing and attacking modes.
##loading_tip_toggle_knight,"Press H to toggle your Knights between regular and defensive mode, where they can block projectiles."
##loading_tip_funny_first_name,Bricktrons prefer to be called by their first name.
##loading_tip_funny_reboot,"Once two bricktrons are friends, they are friends forever, or until you reboot your computer."
##loading_tip_funny_courtship,Bricktrons have subtle yet refined courtship rituals.
##loading_tip_funny_high_tower,Bricktrons lost the ability to talk intelligibly after they built a tower a little too high.
##loading_tip_funny_mirror_image,Bricktrons don't recognize their image in a mirror.
##loading_tip_funny_bycocket,"The type of hats worn by bricktron archers is historically known as a bycocket. No kidding, look it up."
##loading_tip_archers_range,Archers and arbalists gain a range buff when higher. Place them on top of your walls.
##loading_tip_piemenu_stockpiles,Use the pie menu on stockpiles to restrict which resources go on them.
##loading_tip_landscape,You can use the flatten task to flatten uneven areas.
##loading_tip_braces,You can build longer wood beams if you use braces beneath the beams.
##loading_tip_funny_bougre,b0uGr3 waZ H3eR
,
RESOURCES,
##resource_empty,Empty
##resource_empty_info,Empty
##resource_stoneblock,Brick
##resource_stoneblock_info,Main building block for castles.
##resource_woodblock,Log
##resource_woodblock_info,Can be turned into planks at a chopping block.
##resource_plankblock,Plank
##resource_plankblock_info,Main resource used to build wooden structures.
##resource_stones,Stones
##resource_stones_info,Raw stone can be combined to form stone bricks or smelted into glass.
##resource_iron,Iron Ingot
##resource_iron_info,"Can be forged into various equipment, including weapons, armor and cogs."
##resource_bluecrystal,Blue Crystal
##resource_bluecrystal_info,Is it making a come back??
##resource_orangecrystal,Brimstone
##resource_orangecrystal_info,Serves as fuel for the furnace and is used in the concoction of explosives.
##resource_sentinelward,Sentinel Ward
##resource_sentinelward_info,This ward will attack nearby enemies.
##resource_healingward,Healing Ward
##resource_healingward_info,Any Bricktron in this ward's radius of influence will be healed over time.
##resource_captureward,Capture Ward
##resource_captureward_info,Placing this ward besides a shard will ensure it's capture.
##resource_lanternward,Lantern Ward
##resource_lanternward_info,This ward emits light. It will emit more light when connected to a power source.
##resource_pylonward,Pylon Ward
##resource_pylonward_info,This ward relays power to other wards.
##resource_plant,Plant
##resource_plant_info,The fiber from plants can be refined into rope or fabric.
##resource_rope,Rope
##resource_rope_info,Is used in the fabrication of rope bridges and bows.
##resource_fabric,Fabric
##resource_fabric_info,Is required for crafting most military equipment.
##resource_rawiron,Raw Iron
##resource_rawiron_info,Unrefined iron ore which can be smelted into ingots.
##resource_glass,Glass
##resource_glass_info,Used to craft the goods that come out of the laboratory.
##resource_cog,Cog
##resource_cog_info,Used to make the machine shop and crossbows.
##resource_bomb,Bomb
##resource_bomb_info,Serves as ammunition for the alchemist.
##resource_explosivebarrel,Explosive Barrel
##resource_explosivebarrel_info,Serves as ammunition for the catapult.
,
RECIPES,
##recipe_requires,Requires
##recipe_none,None
##recipe_none_info,None
##recipe_ironingot,Iron Ingot
##recipe_ironingot_info,"Can be forged into various equipment, including weapons, armor and cogs."
##recipe_glassingot,Glass
##recipe_glassingot_info,Used to craft the goods that come out of the laboratory.
##recipe_cog,Cog
##recipe_cog_info,Used to make the machine shop and crossbows.
##recipe_bomb,Bomb
##recipe_bomb_info,Serves as ammunition for the alchemist.
##recipe_beartrap,Bear Trap
##recipe_beartrap_info,Bear traps will immobilize temporarily any enemy units that steps on it.
##recipe_explosivebarrel,Explosive Barrel
##recipe_explosivebarrel_info,Serves as ammunition for the catapult.
##recipe_fabricpile,Fabric Roll
##recipe_fabricpile_info,Is required for crafting most military equipment.
##recipe_ropeballot,Rope Coil
##recipe_ropeballot_info,Is used in the fabrication of rope bridges and bows.
##recipe_planks,Planks
##recipe_planks_info,Main resource used to build wooden structures.
##recipe_sentinelward,Sentinel Ward
##recipe_sentinelward_info,This ward will attack nearby enemies.
##recipe_healingward,Healing Ward
##recipe_healingward_info,Any Bricktron in this ward's radius of influence will be healed over time.
##recipe_captureward,Capture Ward
##recipe_captureward_info,Placing this ward besides a shard will ensure it's capture.
##recipe_lanternward,Lantern Ward
##recipe_lanternward_info,This ward emits light. It will emit more light when connected to a power source.
##recipe_pylonward,Pylon Ward
##recipe_pylonward_info,This ward relays power to other wards.
##recipe_sword,Sword
##recipe_sword_info,Part of the knight kit.
##recipe_shield,Shield
##recipe_shield_info,Part of the knight kit.
##recipe_helmet,Helmet
##recipe_helmet_info,Part of the knight kit.
##recipe_bow,Bow
##recipe_bow_info,Part of the archer kit.
##recipe_quiver,Quiver
##recipe_quiver_info,Part of the archer kit.
##recipe_cap,Cap
##recipe_cap_info,Part of the archer kit.
##recipe_arbalistweapon,Crossbow
##recipe_arbalistweapon_info,Part of the arbalist kit.
##recipe_arbalistpouch,BoltPouch
##recipe_arbalistpouch_info,Part of the arbalist kit.
##recipe_arbalistcap,Kepi
##recipe_arbalistcap_info,Part of the arbalist kit.
##recipe_alchemistpouch,Pouch
##recipe_alchemistpouch_info,Part of the alchemist kit.
##recipe_alchemisthat,Bonnet
##recipe_alchemisthat_info,Part of the alchemist kit.
##recipe_artificerstaff,Staff
##recipe_artificerstaff_info,Part of the artificer kit.
##recipe_artificersatchel,Satchel
##recipe_artificersatchel_info,Part of the artificer kit.
##recipe_artificerhat,Chapka
##recipe_artificerhat_info,Part of the artificer kit.
##recipe_poleaxe,Poleaxe
##recipe_poleaxe_info,Part of the halberdier kit.
##recipe_kettlehat,Kettle Hat
##recipe_kettlehat_info,Part of the halberdier kit.
##recipe_knightkit,Knight Kit
##recipe_knightkit_info,"Knights are slow but robust melee units, their block ability excels against projectiles."
##recipe_archerkit,Archer Kit
##recipe_archerkit_info,"Archers are inexpensive, versatile long range units."
##recipe_arbalistkit,Arbalist Kit
##recipe_arbalistkit_info,"Arbalists are slower, but deal high damage at a very long range."
##recipe_halberdierkit,Halberdier Kit
##recipe_halberdierkit_info,Halberdiers are inexpensive melee combatants with high speed.
##recipe_alchemistkit,Alchemist Kit
##recipe_alchemistkit_info,Alchemists throw bombs that deal area of effect damage and break walls.
##recipe_artificerkit,Artificer Kit
##recipe_artificerkit_info,Artificers can either throw ranged projectiles with their staff or heal allies.
,
OPERABLES,
##operable_craft,Craft
##operable_resources_requirements,Required
##operable_resources_finished,Finished
##operable_queue,Queue
##operable_queue_toggle_looping,Toggle Looping
##operable_queue_toggle_looping_info,The crafting station will produce the selected item indefinitely.
##operable_queue_clear,Clear
##operable_queue_clear_info,Empties the crafting station queue.
##operable_furnace,Furnace
##operable_furnace_info,Allows Bricktrons to smelt.
##operable_workbench,Workbench
##operable_workbench_info,"The workbench is used to craft lanterns, halberdier kits and archer kits."
##operable_choppingblock,Chopping Block
##operable_choppingblock_info,Refine wood logs into planks at this station.
##operable_laboratory,Laboratory
##operable_laboratory_info,"Anything related to explosions can be crafted at this station, like explosive barrels, bombs and alchemist kits."
##operable_loom,Loom
##operable_loom_info,The loom allows you to refine plants into fabric and rope.
##operable_forge,Forge
##operable_forge_info,"The forge enables metalworking, turning iron ingots into knight kits or cogs."
##operable_machineshop,Machine Shop
##operable_machineshop_info,Contraptions requiring mechanical components like beartraps and arbalist kits can be crafted here.
##operable_altar,Altar
##operable_altar_info,"Items drawing from the mysterious energy emanating from crystals are built here, including wards and artificer kits."
,
TASKS,
##task_build,Build
##task_build_info,<color=#ffc50a>Build</color>\n\nTask for building blocks and structures.
##task_quarry,Quarry
##task_quarry_info,<color=#ffc50a>Quarry</color>\n\nTask for digging downward and harvesting rock.
##task_cleanup,Cleanup
##task_cleanup_info,<color=#ffc50a>Cleanup</color>\n\nTask to pick up materials littering the ground.
##task_harvest,Harvest
##task_harvest_info,<color=#ffc50a>Harvest</color>\n\nTask to collect materials from resource nodes.
##task_repair,Repair
##task_repair_info,<color=#ffc50a>Repair</color>\n\nTask to repair damaged walls and structures.
##task_landscape,Flatten
##task_landscape_info,<color=#ffc50a>Flatten</color>\n\nTask to flatten terrain.
##task_tunnel,Tunnel
##task_tunnel_info,<color=#ffc50a>Tunnel</color>\n\nTask for digging sideways and harvesting rock.
##task_idle,Crystal
##task_idle_info,<color=#ffc50a>Crystal</color>\n\nDefault task for Bricktrons who are just chilling.
##task_goals,Goals
##task_options,Options
##task_all_goals,Goals
##task_all_goals_info,<color=#ffc50a>Goals</color>\n\nNumber of objectives in this task
,
##task_build_blueprintclear,Clear Blueprint Selection
##task_build_blueprintclear_info,<color=#ffc50a>Clear Blueprint Selection</color>\n\nClears currently selected blueprints.
##task_build_blueprintactive,Toggle Blueprint Management
##task_build_blueprintactive_info,<color=#ffc50a>Toggle Blueprint Management</color>\n\nActivates or deactivates blueprint management.
##task_build_blueprintdelete,Delete Selected Blueprints
##task_build_blueprintdelete_info,<color=#ffc50a>Delete Selected Blueprints</color>\n\nDeletes currently selected blueprints.
##task_build_blueprintexpand,Expand Blueprint Selection
##task_build_blueprintexpand_info,<color=#ffc50a>Expand Blueprint Selection</color>\n\nAllows for more blueprints to be added to the selection.
##task_build_blueprintmove,Move Selected Blueprints
##task_build_blueprintmove_info,<color=#ffc50a>Move Selected Blueprints</color>\n\nMove several blueprints around at once.
##task_build_blueprintsplit,Split Selected Blueprints
##task_build_blueprintsplit_info,<color=#ffc50a>Split Selected Blueprints</color>\n\nSplit selected blueprints into a new build task.
##task_build_blueprintcopy,Copy Selected Blueprints
##task_build_blueprintcopy_info,<color=#ffc50a>Copy Selected Blueprints</color>\n\nMakes a copy of current selection.
,
##task_priority,Priority
,
##task_actions,Actions
##task_actions_ok,OK
##task_actions_ok_info,<color=#ffc50a>OK</color>\n\nConfirm changes and close edit mode
##task_actions_apply,Apply
##task_actions_apply_info,<color=#ffc50a>Apply</color>\n\nConfirm changes
##task_actions_cancel,Cancel
##task_actions_cancel_info,<color=#ffc50a>Cancel</color>\n\nCancel changes
##task_actions_delete,Delete
##task_actions_delete_info,<color=#ffc50a>Delete</color>\n\nDelete the currently selected task
##task_actions_select,Select Task
##task_actions_select_info,<color=#ffc50a>Select Task</color>\n\nSelect this task
##task_actions_selectcrew,Select Crew
##task_actions_selectcrew_info,<color=#ffc50a>Select Crew</color>\n\nSelects these Bricktrons to give them orders
##task_actions_deselect,Deselect
##task_actions_deselect_info,<color=#ffc50a>Deselect</color>\n\nUnselects the Bricktrons associated with this task
,
##task_idle_crystal,Next Bricktron
##task_idle_energy,Energy:
##task_idle_maxenergy,Maximum Reached
##task_idle_spawn,Spawn
##task_idle_dead,Dead
##task_idle_population,Population
##task_idle_population_info,<color=#ffc50a>Population</color>\n\nYour current Bricktron population over the maximum allowed
##task_idle_death,Dead Bricktrons
##task_idle_death_info,<color=#ffc50a>Dead Bricktrons</color>\n\nThese Bricktrons will automatically respawn near your home crystal
##task_idle_progress,Progress Bar
##task_idle_progress_info,<color=#ffc50a>Progress Bar</color>\n\nProgress to next Bricktron
##task_idle_spawnunit,Spawn Bricktron
##task_idle_spawnunit_info,<color=#ffc50a>Spawn Bricktron</color>\n\nSummons a Bricktron to join your side
,
##task_build_goals,Blocks
##task_build_goals_info,"<color=#ffc50a>Blocks</color>\n\nNumber of bricks, blocks and structures to build and place"
,
##task_harvest_options,Resource Types
##task_harvest_goals,Resources
##task_harvest_goals_info,<color=#ffc50a>Resources</color>\n\nNumber of resources scheduled to be harvested in this task
##task_harvest_iron,Iron
##task_harvest_iron_info,<color=#ffc50a>Iron</color>\n\nEnable or disable the harvest of iron in this task
##task_harvest_iron_goals,Iron nodes
##task_harvest_iron_goals_info,<color=#ffc50a>Iron nodes</color>\n\nNumber of iron nodes scheduled to be harvested in this task
##task_harvest_plants,Plants
##task_harvest_plants_info,<color=#ffc50a>Plants</color>\n\nEnable or disable the harvest of plants in this task
##task_harvest_plants_goals,Plants
##task_harvest_plants_goals_info,<color=#ffc50a>Plants</color>\n\nNumber of plants scheduled to be harvested in this task
##task_harvest_brimstone,Brimstone
##task_harvest_brimstone_info,<color=#ffc50a>Brimstone</color>\n\nEnable or disable the harvest of brimstone in this task
##task_harvest_brimstone_goals,Brimstone nodes
##task_harvest_brimstone_goals_info,<color=#ffc50a>Brimstone nodes</color>\n\nNumber of brimstone nodes scheduled to be harvested in this task
##task_harvest_trees,Wood
##task_harvest_trees_info,<color=#ffc50a>Wood</color>\n\nEnable or disable the harvest of wood in this task
##task_harvest_trees_goals,Trees
##task_harvest_trees_goals_info,<color=#ffc50a>Trees</color>\n\nNumber of trees scheduled to be harvested in this task
##task_harvest_boulders,Stone
##task_harvest_boulders_info,<color=#ffc50a>Stone</color>\n\nEnable or disable the harvest of stone in this task
##task_harvest_boulders_goals,Boulders
##task_harvest_boulders_goals_info,<color=#ffc50a>Boulders</color>\n\nNumber of boulders scheduled to be harvested in this task
,
##task_landscape_goals,Voxels
##task_landscape_goals_info,<color=#ffc50a>Voxels</color>\n\nNumber of voxels projected to be removed or added
##task_landscape_raise,Raise
##task_landscape_raise_info,<color=#ffc50a>Raise</color>\n\nOrders the Bricktrons to raise the terrain at selected location
##task_landscape_lower,Lower
##task_landscape_lower_info,<color=#ffc50a>Lower</color>\n\nOrders the Bricktrons to lower the terrain at selected location
,
##task_tunnel_options,Next Tunnel
##task_tunnel_goals,Voxels
##task_tunnel_goals_info,<color=#ffc50a>Voxels</color>\n\nNumber of voxels projected to be removed
##task_tunnel_up,Dig Up
##task_tunnel_up_info,<color=#ffc50a>Dig Up</color>\n\nOrders the Bricktrons to dig in an upward direction
##task_tunnel_down,Dig Down
##task_tunnel_down_info,<color=#ffc50a>Dig Down</color>\n\nOrders the Bricktrons to dig in a downward direction
##task_tunnel_straight,Dig Straight
##task_tunnel_straight_info,<color=#ffc50a>Dig Straight</color>\n\nOrders the Bricktrons to dig straight forward
##task_keepstone_info,<color=#ffc50a>Keep Stone</color>\n\nBricktrons will bring back harvested stone
##task_keepiron_info,<color=#ffc50a>Keep Iron</color>\n\nBricktrons will bring back harvested iron
##task_keepbrimstone_info,<color=#ffc50a>Keep Brimstone</color>\n\nBricktrons will bring back harvested brimstone
,
##task_quarry_goals,Voxels
##task_quarry_goals_info,<color=#ffc50a>Voxels</color>\n\nNumber of voxels projected to be removed
##task_quarry_stairs,Rotate Staircase
##task_quarry_stairs_info,<color=#ffc50a>Rotate Staircase</color>\n\nRotates the projected stairs in the quarry
,
##task_repair_goals,Blocks
##task_repair_goals_info,"<color=#ffc50a>Blocks</color>\n\nNumber of bricks, blocks and structures to repair"
,
##task_cleanup_goals,Chunks
##task_cleanup_goals_info,<color=#ffc50a>Chunks</color>\n\nNumber of resource chunks that litter the ground
,
NEWS,
##news_mastodonte,DECORATIONS & WINTER BIOME UPDATE!\nNOW AVAILABLE!
##news_mastodonte_datetime,#datetime
##news_mastodonte_info,"The Decorations & Winter Biome update is now live, adding lots of new blocks to the game; new pillars, paintings, a statue, windows, doors AND a brand new snowy biome to play and make maps with!\n\nEnjoy!"
##news_mastodonte_start,PLAY THE TUTORIAL
##news_mastodonte_start_info,
##news_mastodonte_readmore,Read more
##news_mastodonte_readmore_info,The full changelog on CastleStory.net
,http://www.castlestory.net/en/update/6269-The-Quality-Of-Life-Update-11
,
,
##temp_event_gtp,Capture the Pumpkins
##temp_event_gtp_info,Capture the Pumpkins is a multiplayer game mode in which you must bring back pumpkins to your cooking pot. The team that brings back the most pumpkins to their cooking pot wins!
##temp_event_gtp_intro,"Capture the Pumpkins is a gamemode where, in order to win, you must be the first faction to collect #gems_to_win gems and drop them at your cooking pot.
Pick up pumpkins by selecting a worker and right-clicking a pumpkin that has appeared in its patch. Drop this delicious squash in your cooking pot by right-clicking it with the worker selected.
Consider defending patches of pumpkins and hunting down enemy workers who are hauling them back to their base.
Have fun and good luck!"
##temp_event_gtp_gemscollected_one,You have managed to collect #gem_count pumpkin!
##temp_event_gtp_gemscollected_many,You have managed to collect #gem_count pumpkins!
##temp_event_gtp_timebeforenextgem,Time before next pumpkin:
##temp_event_gtp_victory_info,You are victorious! You were the first faction to collect all the needed pumpkins. Fabulous! Outrageous!
##temp_event_gtp_defeat_info,"You have been defeated.\n
Another faction has managed to collect the needed pumpkins before you.\n
May your powerless, squashless Bricktrons live in shame until you once again seize the opportunity to prove yourself!"
##temp_event_gtp_mastodonte,CAPTURE THE PUMPKIN!
##temp_event_gtp_mastodonte_info,"It's the return of the Halloween event! Once again, this year, Grab the Gems gets a healthy dash of spooky! Gems turned into pumpkins, your crystal is a bubbly cauldron and the moon doesn't look quite right! If you haven't tried the Grab the Gems/Capture the Pumpkin gamemode, be sure to give it a try, it's tons of fun!\n\nYou'll also notice the Bricktrons have put on their best costumes! Share a screenshot of your favorite one on social media with the tag #castlestory!\n\nHappy Halloween!\n\n-Team Sauropod"
